Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status,IMU_AngVelX,IMU_AngVelY,IMU_AngVelZ,IMU_LinearAccX,IMU_LinearAccY,IMU_LinearAccZ
rospy.Time[1638475989656446597],-65.07634424,44.95579196,9.757,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475989855318951],-65.07635618,44.95581122,9.822,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475990063657006],-65.07636863,44.95583069,9.882,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475990257241771],-65.07638111,44.95585059,9.941,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475990454555680],-65.07639371,44.95587083,10.001,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475990658995277],-65.0764064,44.95589153,10.049,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475990857232339],-65.07641938,44.9559125,10.11,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475991072171286],-65.0764326,44.95593372,10.166,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475991258632624],-65.07644614,44.9559553,10.219,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475991468238991],-65.07645984,44.95597729,10.265,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475991671092107],-65.07647367,44.95599961,10.322,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475991855120771],-65.07648753,44.95602219,10.378,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475992069935551],-65.07650211,44.95604509,10.433,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475992259309454],-65.07651652,44.95606846,10.486,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475992462060660],-65.07653114,44.95609219,10.506,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475992655655394],-65.07654607,44.95611616,10.539,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
